@relation sonar

@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric

@data
0.009300,0.018500,0.005600,0.006400,0.026000,0.045800,0.047000,0.005700,0.042500,0.064000,0.088800,0.159900,0.154100,0.276800,0.217600,0.279900,0.349100,0.282400,0.247900,0.300500,0.430000,0.468400,0.452000,0.502600,0.621700,0.657100,0.663200,0.732100,0.853400,1.000000,0.844800,0.635400,0.630800,0.621100,0.697600,0.586800,0.488900,0.368300,0.204300,0.146900,0.222000,0.144900,0.149000,0.121100,0.114400,0.079100,0.036500,0.015200,0.008500,0.012000,0.002200,0.006900,0.006400,0.012900,0.011400,0.005400,0.008900,0.005000,0.005800,0.002500,1.000000
0.021100,0.031900,0.041500,0.028600,0.012100,0.043800,0.129900,0.139000,0.069500,0.056800,0.086900,0.193500,0.147800,0.187100,0.199400,0.328300,0.686100,0.581400,0.250000,0.173400,0.336300,0.558800,0.659200,0.701200,0.809900,0.890100,0.874500,0.788700,0.872500,0.937600,0.892000,0.750800,0.683200,0.761000,0.901700,1.000000,0.912300,0.738800,0.591500,0.405700,0.301900,0.233100,0.293100,0.229800,0.239100,0.191000,0.109600,0.030000,0.017100,0.038300,0.005300,0.009000,0.004200,0.015300,0.010600,0.002000,0.010500,0.004900,0.007000,0.008000,1.000000
0.009300,0.026900,0.021700,0.033900,0.030500,0.117200,0.145000,0.063800,0.074000,0.136000,0.213200,0.373800,0.373800,0.267300,0.233300,0.536700,0.731200,0.765900,0.627100,0.439500,0.433000,0.432600,0.554400,0.736000,0.858900,0.898900,0.942000,0.940100,0.937900,0.857500,0.728400,0.670000,0.754700,0.877300,0.991900,0.992200,0.941900,0.838800,0.660500,0.481600,0.291700,0.176900,0.113600,0.070100,0.157800,0.193800,0.110600,0.069300,0.017600,0.020500,0.030900,0.021200,0.009100,0.005600,0.008600,0.009200,0.007000,0.011600,0.006000,0.011000,1.000000
0.025700,0.044700,0.038800,0.023900,0.131500,0.132300,0.160800,0.214500,0.084700,0.056100,0.089100,0.086100,0.153100,0.152400,0.184900,0.287100,0.200900,0.274800,0.501700,0.217200,0.497800,0.526500,0.364700,0.576800,0.516100,0.571500,0.400600,0.365000,0.668500,0.865900,0.805200,0.408200,0.337900,0.509200,0.677600,0.731300,0.606200,0.704000,0.884900,0.897900,0.775100,0.724700,0.773300,0.776200,0.600900,0.451400,0.309600,0.185900,0.095600,0.020600,0.020600,0.009600,0.015300,0.009600,0.013100,0.019800,0.002500,0.019900,0.025500,0.018000,1.000000
0.040800,0.065300,0.039700,0.060400,0.049600,0.181700,0.117800,0.102400,0.058300,0.217600,0.245900,0.333200,0.308700,0.261300,0.323200,0.373100,0.420300,0.536400,0.706200,0.819600,0.883500,0.829900,0.760900,0.760500,0.836700,0.890500,0.765200,0.589700,0.303700,0.082300,0.278700,0.724100,0.803200,0.805000,0.767600,0.746800,0.625300,0.173000,0.291600,0.500300,0.522000,0.482400,0.400400,0.387700,0.165100,0.044200,0.066300,0.041800,0.047500,0.023500,0.006600,0.006200,0.012900,0.018400,0.006900,0.019800,0.019900,0.010200,0.007000,0.005500,1.000000
0.030800,0.033900,0.020200,0.088900,0.157000,0.175000,0.092000,0.135300,0.159300,0.279500,0.333600,0.294000,0.160800,0.333500,0.498500,0.729500,0.735000,0.825300,0.879300,0.965700,1.000000,0.870700,0.647100,0.597300,0.821800,0.775500,0.611100,0.419500,0.299000,0.135400,0.243800,0.562400,0.555500,0.696300,0.729800,0.702200,0.546800,0.142100,0.473800,0.641000,0.437500,0.317800,0.237700,0.280800,0.137400,0.113600,0.103400,0.068800,0.042200,0.011700,0.007000,0.016700,0.012700,0.013800,0.009000,0.005100,0.002900,0.012200,0.005600,0.002000,1.000000
0.037300,0.028100,0.023200,0.022500,0.017900,0.073300,0.084100,0.103100,0.099300,0.080200,0.156400,0.256500,0.262400,0.117900,0.059700,0.156300,0.224100,0.358600,0.179200,0.325600,0.607900,0.698800,0.839100,0.855300,0.771000,0.621500,0.573600,0.440200,0.405600,0.441100,0.513000,0.596500,0.727200,0.653900,0.590200,0.539300,0.489700,0.408100,0.414500,0.600300,0.719600,0.663300,0.628700,0.408700,0.321200,0.251800,0.148200,0.098800,0.031700,0.026900,0.006600,0.000800,0.004500,0.002400,0.000600,0.007300,0.009600,0.005400,0.008500,0.006000,1.000000
0.019000,0.003800,0.064200,0.045200,0.033300,0.069000,0.090100,0.145400,0.074000,0.034900,0.145900,0.347300,0.319700,0.282300,0.016600,0.057200,0.216400,0.456300,0.381900,0.562700,0.648400,0.723500,0.824200,0.876600,1.000000,0.858200,0.656300,0.508700,0.481700,0.453000,0.452100,0.453200,0.538500,0.530800,0.535600,0.527100,0.426000,0.243600,0.120500,0.384500,0.410700,0.506700,0.421600,0.247900,0.158600,0.112400,0.065100,0.078900,0.032500,0.007000,0.002600,0.009300,0.011800,0.011200,0.009400,0.014000,0.007200,0.002200,0.005500,0.012200,1.000000
0.011900,0.058200,0.062300,0.060000,0.139700,0.188300,0.142200,0.144700,0.048700,0.086400,0.214300,0.372000,0.266500,0.211300,0.110300,0.113600,0.193400,0.414200,0.327900,0.622200,0.746800,0.767600,0.786700,0.825300,1.000000,0.948100,0.753900,0.600800,0.543700,0.538700,0.561900,0.514100,0.608400,0.562100,0.595600,0.607800,0.502500,0.282900,0.047700,0.281100,0.342200,0.514700,0.437200,0.247000,0.170800,0.134300,0.083800,0.075500,0.030400,0.007400,0.006900,0.002500,0.010300,0.007400,0.012300,0.006900,0.007600,0.007300,0.003000,0.013800,1.000000
0.035300,0.071300,0.032600,0.027200,0.037000,0.079200,0.108300,0.068700,0.029800,0.088000,0.107800,0.097900,0.225000,0.281900,0.209900,0.124000,0.169900,0.093900,0.109100,0.141000,0.126800,0.315100,0.143000,0.226400,0.575600,0.787600,0.715800,0.599800,0.558300,0.629500,0.765900,0.894000,0.843600,0.680700,0.838000,1.000000,0.949700,0.786600,0.564700,0.348000,0.258500,0.230400,0.294800,0.336300,0.301700,0.219300,0.131600,0.107800,0.055900,0.003500,0.009800,0.016300,0.024200,0.004300,0.020200,0.010800,0.003700,0.009600,0.009300,0.005300,1.000000
0.013100,0.006800,0.030800,0.031100,0.008500,0.076700,0.077100,0.064000,0.072600,0.090100,0.075000,0.084400,0.122600,0.161900,0.231700,0.293400,0.352600,0.365700,0.322100,0.309300,0.408400,0.428500,0.466300,0.595600,0.694800,0.838600,0.887500,0.640400,0.330800,0.342500,0.492000,0.459200,0.303400,0.436600,0.517500,0.512200,0.474600,0.490200,0.460300,0.446000,0.419600,0.287300,0.229600,0.094900,0.009500,0.052700,0.038300,0.010700,0.010800,0.007700,0.010900,0.006200,0.002800,0.004000,0.007500,0.003900,0.005300,0.001300,0.005200,0.002300,1.000000
0.008700,0.004600,0.008100,0.023000,0.058600,0.068200,0.099300,0.071700,0.057600,0.081800,0.131500,0.186200,0.278900,0.257900,0.224000,0.256800,0.293300,0.299100,0.392400,0.469100,0.566500,0.646400,0.677400,0.757700,0.885600,0.941900,1.000000,0.856400,0.679000,0.558700,0.414700,0.294600,0.202500,0.068800,0.117100,0.215700,0.221600,0.277600,0.230900,0.144400,0.151300,0.174500,0.175600,0.142400,0.090800,0.013800,0.046900,0.048000,0.015900,0.004500,0.001500,0.005200,0.003800,0.007900,0.011400,0.005000,0.003000,0.006400,0.005800,0.003000,1.000000
0.029300,0.037800,0.025700,0.006200,0.013000,0.061200,0.089500,0.110700,0.097300,0.075100,0.052800,0.120900,0.176300,0.203900,0.272700,0.232100,0.267600,0.293400,0.329500,0.491000,0.540200,0.625700,0.682600,0.752700,0.850400,0.893800,0.992800,0.913400,0.708000,0.631800,0.612600,0.463800,0.279700,0.172100,0.166500,0.256100,0.273500,0.320900,0.272400,0.188000,0.155200,0.252200,0.212100,0.180100,0.147300,0.068100,0.109100,0.091900,0.039700,0.009300,0.007600,0.006500,0.007200,0.010800,0.005100,0.010200,0.004100,0.005500,0.005000,0.008700,1.000000
0.013200,0.008000,0.018800,0.014100,0.043600,0.066800,0.060900,0.013100,0.089900,0.092200,0.144500,0.147500,0.208700,0.255800,0.260300,0.198500,0.239400,0.313400,0.407700,0.452900,0.489300,0.566600,0.623400,0.674100,0.828200,0.882300,0.919600,0.896500,0.754900,0.673600,0.646300,0.500700,0.366300,0.229800,0.136200,0.212300,0.239500,0.267300,0.286500,0.206000,0.165900,0.263300,0.255200,0.169600,0.146700,0.128600,0.092600,0.071600,0.032500,0.025800,0.013600,0.004400,0.002800,0.002100,0.002200,0.004800,0.013800,0.014000,0.002800,0.006400,1.000000
0.020100,0.011600,0.012300,0.024500,0.054700,0.020800,0.089100,0.083600,0.133500,0.119900,0.174200,0.138700,0.204200,0.258000,0.261600,0.209700,0.253200,0.321300,0.432700,0.476000,0.532800,0.605700,0.669600,0.747600,0.893000,0.940500,1.000000,0.978500,0.847300,0.763900,0.670100,0.498900,0.371800,0.219600,0.141600,0.268000,0.263000,0.310400,0.339200,0.212300,0.117000,0.265500,0.220300,0.154100,0.146400,0.104400,0.122500,0.074500,0.049000,0.022400,0.003200,0.007600,0.004500,0.005600,0.007500,0.003700,0.004500,0.002900,0.000800,0.001800,1.000000
0.015200,0.010200,0.011300,0.026300,0.009700,0.039100,0.085700,0.091500,0.094900,0.150400,0.191100,0.211500,0.224900,0.257300,0.170100,0.202300,0.253800,0.341700,0.402600,0.455300,0.552500,0.599100,0.585400,0.711400,0.950000,0.985800,1.000000,0.957800,0.864200,0.712800,0.589300,0.432300,0.289700,0.174400,0.077000,0.229700,0.245900,0.310100,0.331200,0.222000,0.087100,0.206400,0.180800,0.162400,0.112000,0.081500,0.111700,0.095000,0.041200,0.012000,0.004800,0.004900,0.004100,0.003600,0.001300,0.004600,0.003700,0.001100,0.003400,0.003300,1.000000
0.021600,0.012400,0.017400,0.015200,0.060800,0.102600,0.113900,0.087700,0.116000,0.086600,0.156400,0.078000,0.099700,0.091500,0.066200,0.113400,0.174000,0.257300,0.329400,0.391000,0.543800,0.611500,0.702200,0.761000,0.797300,0.910500,0.880700,0.794900,0.799000,0.718000,0.640700,0.631200,0.592900,0.616800,0.649800,0.676400,0.625300,0.511700,0.389000,0.327300,0.250900,0.153000,0.132300,0.165700,0.121500,0.097800,0.045200,0.027300,0.017900,0.009200,0.001800,0.005200,0.004900,0.009600,0.013400,0.012200,0.004700,0.001800,0.000600,0.002300,1.000000
0.022500,0.001900,0.007500,0.009700,0.044500,0.090600,0.088900,0.065500,0.162400,0.145200,0.144200,0.094800,0.061800,0.164100,0.070800,0.084400,0.259000,0.267900,0.309400,0.467800,0.595800,0.724500,0.877300,0.921400,0.928200,0.994200,1.000000,0.907100,0.854500,0.729300,0.649900,0.607100,0.558800,0.596700,0.627500,0.545900,0.478600,0.396500,0.208700,0.165100,0.183600,0.065200,0.075800,0.048600,0.035300,0.029700,0.024100,0.037900,0.011900,0.007300,0.005100,0.003400,0.012900,0.010000,0.004400,0.005700,0.003000,0.003500,0.002100,0.002700,1.000000
0.012500,0.015200,0.021800,0.017500,0.036200,0.069600,0.087300,0.061600,0.125200,0.130200,0.088800,0.050000,0.062800,0.127400,0.080100,0.074200,0.204800,0.295000,0.319300,0.456700,0.595900,0.710100,0.822500,0.842500,0.906500,0.980200,1.000000,0.875200,0.758300,0.661600,0.578600,0.512800,0.477600,0.499400,0.519700,0.507100,0.457700,0.350500,0.184500,0.189000,0.196700,0.104100,0.055000,0.049200,0.062200,0.050500,0.024700,0.021900,0.010200,0.004700,0.001900,0.004100,0.007400,0.003000,0.005000,0.004800,0.001700,0.004100,0.008600,0.005800,1.000000
0.013000,0.000600,0.008800,0.045600,0.052500,0.077800,0.093100,0.094100,0.171100,0.148300,0.153200,0.110000,0.089000,0.123600,0.119700,0.114500,0.213700,0.283800,0.364000,0.543000,0.667300,0.797900,0.927300,0.902700,0.919200,1.000000,0.982100,0.909200,0.818400,0.696200,0.590000,0.544700,0.514200,0.538900,0.553100,0.531800,0.482600,0.379000,0.183100,0.175000,0.167900,0.067400,0.060900,0.037500,0.053300,0.027800,0.017900,0.011400,0.007300,0.011600,0.009200,0.007800,0.004100,0.001300,0.001100,0.004500,0.003900,0.002200,0.002300,0.001600,1.000000
0.013500,0.004500,0.005100,0.028900,0.056100,0.092900,0.103100,0.088300,0.159600,0.190800,0.157600,0.111200,0.119700,0.117400,0.141500,0.221500,0.265800,0.271300,0.386200,0.571700,0.679700,0.874700,1.000000,0.894800,0.842000,0.917400,0.930700,0.905000,0.822800,0.698600,0.583100,0.492400,0.456300,0.515900,0.567000,0.528400,0.514400,0.374200,0.228200,0.119300,0.108800,0.043100,0.107000,0.058300,0.004600,0.047300,0.040800,0.029000,0.019200,0.009400,0.002500,0.003700,0.008400,0.010200,0.009600,0.002400,0.003700,0.002800,0.003000,0.003000,1.000000
0.008600,0.021500,0.024200,0.044500,0.066700,0.077100,0.049900,0.090600,0.122900,0.118500,0.077500,0.110100,0.104200,0.085300,0.045600,0.130400,0.269000,0.294700,0.366900,0.494800,0.627500,0.816200,0.923700,0.871000,0.805200,0.875600,1.000000,0.985800,0.942700,0.811400,0.698700,0.681000,0.659100,0.695400,0.729000,0.668000,0.591700,0.489900,0.343900,0.236600,0.171600,0.101300,0.076600,0.084500,0.026000,0.033300,0.020500,0.030900,0.010100,0.009500,0.004700,0.007200,0.005400,0.002200,0.001600,0.002900,0.005800,0.005000,0.002400,0.003000,1.000000
0.006700,0.009600,0.002400,0.005800,0.019700,0.061800,0.043200,0.095100,0.083600,0.118000,0.097800,0.090900,0.065600,0.059300,0.083200,0.129700,0.203800,0.381100,0.445100,0.522400,0.591100,0.656600,0.630800,0.599800,0.495800,0.564700,0.690600,0.851300,1.000000,0.916600,0.767600,0.617700,0.546800,0.551600,0.546300,0.551500,0.456100,0.346600,0.338400,0.285300,0.250200,0.164100,0.160500,0.149100,0.132600,0.068700,0.060200,0.056100,0.030600,0.015400,0.002900,0.004800,0.002300,0.002000,0.004000,0.001900,0.003400,0.003400,0.005100,0.003100,1.000000
0.007100,0.010300,0.013500,0.049400,0.025300,0.080600,0.070100,0.073800,0.011700,0.089800,0.028900,0.155400,0.143700,0.103500,0.142400,0.122700,0.089200,0.204700,0.082700,0.152400,0.303100,0.160800,0.066700,0.142600,0.039500,0.165300,0.339900,0.485500,0.520600,0.550800,0.610200,0.598900,0.676400,0.889700,1.000000,0.951700,0.845900,0.707300,0.669700,0.632600,0.510200,0.416100,0.281600,0.170500,0.142100,0.097100,0.087900,0.086300,0.035500,0.023300,0.025200,0.004300,0.004800,0.007600,0.012400,0.010500,0.005400,0.003200,0.007300,0.006300,1.000000
0.017600,0.017200,0.050100,0.028500,0.026200,0.035100,0.036200,0.053500,0.025800,0.047400,0.052600,0.185400,0.104000,0.094800,0.091200,0.168800,0.156800,0.037500,0.131600,0.208600,0.197600,0.094600,0.196500,0.124200,0.061600,0.214100,0.464200,0.647100,0.634000,0.610700,0.704600,0.537600,0.593400,0.844300,0.948100,0.970500,0.776600,0.631300,0.576000,0.614800,0.545000,0.481300,0.340600,0.191600,0.113400,0.064000,0.091100,0.098000,0.056300,0.018700,0.008800,0.004200,0.017500,0.017100,0.007900,0.005000,0.011200,0.017900,0.029400,0.006300,1.000000
0.026500,0.044000,0.013700,0.008400,0.030500,0.043800,0.034100,0.078000,0.084400,0.077900,0.032700,0.206000,0.190800,0.106500,0.145700,0.223200,0.207000,0.110500,0.107800,0.116500,0.222400,0.068900,0.206000,0.238400,0.090400,0.227800,0.587200,0.845700,0.846700,0.767900,0.805500,0.626000,0.654500,0.874700,0.988500,0.934800,0.696000,0.573300,0.587200,0.666300,0.565100,0.524700,0.368400,0.199700,0.151200,0.050800,0.093100,0.098200,0.052400,0.018800,0.010000,0.003800,0.018700,0.015600,0.006800,0.009700,0.007300,0.008100,0.008600,0.009500,1.000000
0.036800,0.040300,0.031700,0.029300,0.082000,0.134200,0.116100,0.066300,0.015500,0.050600,0.090600,0.254500,0.146400,0.127200,0.122300,0.166900,0.142400,0.128500,0.185700,0.113600,0.206900,0.021900,0.240000,0.254700,0.024000,0.192300,0.475300,0.700300,0.682500,0.644300,0.706300,0.537300,0.660100,0.870800,0.951800,0.960500,0.771200,0.677200,0.643100,0.672000,0.603500,0.515500,0.380200,0.227800,0.152200,0.080100,0.080400,0.075200,0.056600,0.017500,0.005800,0.009100,0.016000,0.016000,0.008100,0.007000,0.013500,0.006700,0.007800,0.006800,1.000000
0.019500,0.014200,0.018100,0.040600,0.039100,0.024900,0.089200,0.097300,0.084000,0.119100,0.152200,0.132200,0.143400,0.124400,0.065300,0.089000,0.122600,0.184600,0.388000,0.365800,0.229700,0.261000,0.419300,0.584800,0.564300,0.544800,0.477200,0.689700,0.979700,1.000000,0.954600,0.883500,0.766200,0.654700,0.544700,0.459300,0.467900,0.198700,0.069900,0.149300,0.171300,0.165400,0.260000,0.384600,0.375400,0.241400,0.107700,0.022400,0.015500,0.018700,0.012500,0.002800,0.006700,0.012000,0.001200,0.002200,0.005800,0.004200,0.006700,0.001200,1.000000
0.021600,0.021500,0.027300,0.013900,0.035700,0.078500,0.090600,0.090800,0.115100,0.097300,0.120300,0.110200,0.119200,0.176200,0.239000,0.213800,0.192900,0.176500,0.074600,0.126500,0.200500,0.157100,0.260500,0.538600,0.844000,1.000000,0.868400,0.674200,0.553700,0.463800,0.360900,0.205500,0.162000,0.209200,0.310000,0.234400,0.105800,0.038300,0.052800,0.129100,0.224100,0.191500,0.158700,0.094200,0.084000,0.067000,0.034200,0.046900,0.035700,0.013600,0.008200,0.014000,0.004400,0.005200,0.007300,0.002100,0.004700,0.002400,0.000900,0.001700,1.000000
0.006500,0.012200,0.006800,0.010800,0.021700,0.028400,0.052700,0.057500,0.105400,0.110900,0.093700,0.082700,0.092000,0.091100,0.148700,0.166600,0.126800,0.137400,0.109500,0.128600,0.214600,0.288900,0.423800,0.616800,0.816700,0.962200,0.828000,0.581600,0.466700,0.353900,0.272700,0.141000,0.186300,0.217600,0.236000,0.172500,0.058900,0.062100,0.184700,0.245200,0.298400,0.304100,0.227500,0.148000,0.110200,0.117800,0.060800,0.033300,0.027600,0.010000,0.002300,0.006900,0.002500,0.002700,0.005200,0.003600,0.002600,0.003600,0.000600,0.003500,1.000000
0.003600,0.007800,0.009200,0.038700,0.053000,0.119700,0.124300,0.102600,0.123900,0.088800,0.093700,0.124500,0.159900,0.154200,0.184600,0.173200,0.147700,0.174800,0.145500,0.157900,0.225700,0.197500,0.336800,0.582800,0.850500,1.000000,0.845700,0.662400,0.556400,0.392500,0.323300,0.205400,0.192000,0.222700,0.314700,0.226800,0.079500,0.074800,0.116600,0.196900,0.261900,0.250700,0.198300,0.094800,0.093100,0.096500,0.038100,0.043500,0.033600,0.005500,0.007900,0.011900,0.005500,0.003500,0.003600,0.000400,0.001800,0.004900,0.002400,0.001600,1.000000
0.020800,0.018600,0.013100,0.021100,0.061000,0.061300,0.061200,0.050600,0.098900,0.109300,0.106300,0.117900,0.129100,0.159100,0.168000,0.191800,0.161500,0.164700,0.139700,0.142600,0.242900,0.281600,0.429000,0.644300,0.906100,1.000000,0.808700,0.611900,0.526000,0.367700,0.274600,0.102000,0.133900,0.158200,0.195200,0.178700,0.042900,0.109600,0.176200,0.248100,0.315000,0.292000,0.190200,0.069600,0.075800,0.091000,0.044100,0.024400,0.026500,0.009500,0.014000,0.007400,0.006300,0.008100,0.008700,0.004400,0.002800,0.001900,0.004900,0.002300,1.000000
0.013900,0.022200,0.008900,0.010800,0.021500,0.013600,0.065900,0.095400,0.078600,0.101500,0.126100,0.082800,0.049300,0.084800,0.151400,0.139600,0.106600,0.192300,0.299100,0.324700,0.379700,0.565800,0.748300,0.875700,0.904800,0.751100,0.685800,0.704300,0.586400,0.377300,0.220600,0.262800,0.267200,0.290700,0.198200,0.228800,0.318600,0.287100,0.292100,0.280600,0.268200,0.211200,0.151300,0.178900,0.185000,0.171700,0.089800,0.065600,0.044500,0.011000,0.002400,0.006200,0.007200,0.011300,0.001200,0.002200,0.002500,0.005900,0.003900,0.004800,1.000000
0.010900,0.009300,0.012100,0.037800,0.067900,0.086300,0.100400,0.066400,0.094100,0.103600,0.097200,0.050100,0.154600,0.340400,0.480400,0.657000,0.773800,0.782700,0.815200,0.812900,0.829700,0.853500,0.887000,0.889400,0.898000,0.966700,1.000000,0.913400,0.676200,0.465900,0.289500,0.295900,0.174600,0.211200,0.256900,0.227600,0.214900,0.160100,0.037100,0.011700,0.048800,0.028800,0.059700,0.043100,0.036900,0.002500,0.032700,0.025700,0.018200,0.010800,0.012400,0.007700,0.002300,0.011700,0.005300,0.007700,0.007600,0.005600,0.005500,0.003900,1.000000
0.020200,0.010400,0.032500,0.023900,0.080700,0.152900,0.115400,0.060800,0.131700,0.137000,0.084300,0.026900,0.125400,0.304600,0.558400,0.797300,0.834100,0.805700,0.861600,0.876900,0.941300,0.940300,0.940900,1.000000,0.972500,0.930900,0.935100,0.731700,0.442100,0.324400,0.416100,0.461100,0.403100,0.300000,0.245900,0.134800,0.254100,0.225500,0.159800,0.148500,0.084500,0.056900,0.085500,0.126200,0.115300,0.057000,0.042600,0.042500,0.023500,0.000600,0.018800,0.012700,0.008100,0.006700,0.004300,0.006500,0.004900,0.005400,0.007300,0.005400,1.000000
0.023900,0.018900,0.046600,0.044000,0.065700,0.074200,0.138000,0.109900,0.138400,0.137600,0.093800,0.025900,0.149900,0.285100,0.574300,0.827800,0.866900,0.813100,0.904500,0.904600,1.000000,0.997600,0.987200,0.976100,0.900900,0.972400,0.967500,0.763300,0.443400,0.382200,0.472700,0.400700,0.338100,0.317200,0.222200,0.073300,0.269200,0.188800,0.071200,0.106200,0.069400,0.030000,0.089300,0.145900,0.134800,0.039100,0.054600,0.046900,0.020100,0.009500,0.015500,0.009100,0.015100,0.008000,0.001800,0.007800,0.004500,0.002600,0.003600,0.002400,1.000000
0.033600,0.029400,0.047600,0.053900,0.079400,0.080400,0.113600,0.122800,0.123500,0.084200,0.035700,0.068900,0.170500,0.325700,0.460200,0.622500,0.732700,0.784300,0.798800,0.826100,1.000000,0.981400,0.962000,0.960100,0.911800,0.908600,0.793100,0.587700,0.347400,0.423500,0.463300,0.341000,0.284900,0.284700,0.174200,0.054900,0.119200,0.115400,0.085500,0.181100,0.126400,0.079900,0.037800,0.126800,0.112500,0.050500,0.094900,0.067700,0.025900,0.017000,0.003300,0.015000,0.011100,0.003200,0.003500,0.016900,0.013700,0.001500,0.006900,0.005100,1.000000
0.023100,0.035100,0.003000,0.030400,0.033900,0.086000,0.173800,0.135100,0.106300,0.034700,0.057500,0.138200,0.227400,0.403800,0.522300,0.684700,0.752100,0.776000,0.770800,0.862700,1.000000,0.887300,0.805700,0.876000,0.906600,0.943000,0.884600,0.650000,0.297000,0.242300,0.299200,0.228500,0.227700,0.152900,0.103700,0.035200,0.107300,0.137300,0.133100,0.145400,0.111500,0.044000,0.076200,0.138100,0.083100,0.065400,0.084400,0.059500,0.049700,0.031300,0.015400,0.010600,0.009700,0.002200,0.005200,0.007200,0.005600,0.003800,0.004300,0.003000,1.000000
0.010800,0.008600,0.005800,0.046000,0.075200,0.088700,0.101500,0.049400,0.047200,0.039300,0.110600,0.141200,0.220200,0.297600,0.411600,0.475400,0.539000,0.627900,0.706000,0.791800,0.949300,1.000000,0.964500,0.943200,0.865800,0.789500,0.650100,0.449200,0.473900,0.615300,0.492900,0.319500,0.373500,0.333600,0.105200,0.067100,0.037900,0.046100,0.169400,0.216900,0.167700,0.064400,0.015900,0.077800,0.065300,0.021000,0.050900,0.038700,0.026200,0.010100,0.016100,0.002900,0.007800,0.011400,0.008300,0.005800,0.000300,0.002300,0.002600,0.002700,1.000000
0.022900,0.036900,0.004000,0.037500,0.045500,0.145200,0.221100,0.118800,0.075000,0.163100,0.270900,0.335800,0.409100,0.440000,0.548500,0.721300,0.813700,0.918500,1.000000,0.941800,0.911600,0.934900,0.748400,0.514600,0.410600,0.344300,0.698100,0.871300,0.901300,0.801400,0.438000,0.131900,0.170900,0.248400,0.304400,0.231200,0.133800,0.205600,0.247400,0.279000,0.161000,0.005600,0.035100,0.114800,0.133100,0.027600,0.076300,0.063100,0.030900,0.024000,0.011500,0.006400,0.002200,0.012200,0.015100,0.005600,0.002600,0.002900,0.010400,0.016300,1.000000
0.010000,0.019400,0.015500,0.048900,0.083900,0.100900,0.162700,0.207100,0.269600,0.299000,0.324200,0.356500,0.395100,0.520100,0.695300,0.846800,1.000000,0.927800,0.851000,0.801000,0.814200,0.882500,0.730200,0.610700,0.715900,0.845800,0.631900,0.480800,0.629100,0.715200,0.600500,0.423500,0.410600,0.399200,0.173000,0.197500,0.237000,0.133900,0.158300,0.315100,0.196800,0.205400,0.127200,0.112900,0.194600,0.219500,0.193000,0.149800,0.077300,0.019600,0.012200,0.013000,0.007300,0.007700,0.007500,0.006000,0.008000,0.001900,0.005300,0.001900,1.000000
0.040900,0.042100,0.057300,0.013000,0.018300,0.101900,0.105400,0.107000,0.230200,0.225900,0.237300,0.332300,0.382700,0.484000,0.681200,0.755500,0.952200,0.982600,0.887100,0.826800,0.756100,0.821700,0.696700,0.644400,0.694800,0.801400,0.605300,0.608400,0.887700,0.855700,0.556300,0.289700,0.363800,0.478600,0.290800,0.089900,0.204300,0.170700,0.040700,0.128600,0.158100,0.219100,0.170100,0.097100,0.221700,0.273200,0.187400,0.106200,0.066500,0.040500,0.011300,0.002800,0.003600,0.010500,0.012000,0.008700,0.006100,0.006100,0.003000,0.007800,1.000000
0.021700,0.034000,0.039200,0.023600,0.108100,0.116400,0.139800,0.100900,0.114700,0.177700,0.407900,0.411300,0.397300,0.507800,0.650900,0.807300,0.981900,1.000000,0.940700,0.845200,0.810600,0.846000,0.621200,0.581500,0.774500,0.820400,0.560100,0.298900,0.500900,0.662800,0.575300,0.405500,0.374600,0.348100,0.158000,0.142200,0.213000,0.186600,0.100300,0.239600,0.224100,0.202900,0.071000,0.160600,0.166900,0.170000,0.182900,0.140300,0.050600,0.022400,0.009500,0.003100,0.010300,0.007800,0.007700,0.009400,0.003100,0.003000,0.001300,0.006900,1.000000
